rank_by_apps,name,appearances,goals,position,nationality,born,player_id
212,Robert Lee,280,34,Midfielder,England,1 February 1966,2646
213,Jermaine Jenas,280,32,Centre Central Midfielder,England,18 February 1983,6378
214,Jeffrey Schlupp,280,22,Left Winger,Ghana,23 December 1992,739010
215,Andy O'Brien,280,8,Defender,Ireland,29 June 1979,27919
216,Lucas Neill,279,6,Centre/Right Central Defender,Australia,9 March 1978,10787
217,Romelu Lukaku,278,121,Centre Striker,Belgium,13 May 1993,738064
218,Chris Wood,278,92,Forward,New Zealand,7 December 1991,781456
219,Juan Mata,278,52,Midfielder,Spain,28 April 1988,354745
220,Abdoulaye Doucouré,278,36,Central Midfielder,Mali,1 January 1993,740512
221,Dennis Wise,278,34,Midfielder,England,16 December 1966,353098
222,Jonjo Shelvey,278,23,Central Midfielder,England,27 February 1992,732152
223,James Collins,278,11,Centre Central Defender,Wales,23 August 1983,145119
224,Patrice Evra,278,7,Left Full Back,France,15 May 1981,94513
225,Nathaniel Clyne,278,4,Right Full Back,England,5 April 1991,27098
226,Ben Mee,277,14,Central Defender,England,21 September 1989,741722
227,Warren Barton,277,10,Defender,England,19 March 1969,2644
228,Darren Bent,276,106,Centre Striker,England,6 February 1984,93984
229,Nathan Redmond,276,28,Midfielder,England,6 March 1994,782254
230,Glenn Whelan,276,4,Centre Defensive Midfielder,Ireland,13 January 1984,289829
231,Dominic Matteo,276,3,Defender,Scotland,28 April 1974,5078
232,Ederson,276,0,Goalkeeper,Brazil,17 August 1993,741887
233,Sergio Agüero,275,184,Centre Striker,Argentina,2 June 1988,277441
234,Richarlison,275,75,Left/Centre/Right Second Striker,Brazil,10 May 1997,314636
235,Steve McManaman,275,41,Midfielder,England,11 February 1972,3287
236,Mikaël Silvestre,275,9,Left/Centre Central Defender,France,9 August 1977,126227
237,Henning Berg,275,8,Defender,Norway,1 September 1969,279141
238,Dominic Calvert-Lewin,274,71,Striker,England,16 March 1997,740415
239,Harry Kewell,274,57,Left/Right Winger,Australia,22 September 1978,99163
240,Branislav Ivanovic,274,22,Centre/Right Central Defender,Serbia,22 February 1984,252230
241,Eric Dier,274,12,Central Defender,England,15 January 1994,738006
242,Chris Powell,274,2,Defender,England,8 September 1969,96263
243,Kanu,273,54,Centre Second Striker,Nigeria,1 August 1976,4272
244,Jason Wilcox,273,31,Midfielder,England,15 July 1971,353065
245,James McCarthy,272,13,Centre Central Midfielder,Ireland,12 November 1990,289231
246,Callum Wilson,271,95,Centre Striker,England,27 February 1992,785903
247,Adama Traoré,271,14,Right Winger,Spain,25 January 1996,775911
248,Lee Cattermole,271,6,Centre Defensive Midfielder,England,21 March 1988,5473
249,Matthew Le Tissier,270,100,Midfielder,England,14 October 1968,513
250,Duncan Ferguson,269,68,Forward,Scotland,27 December 1971,948
251,Joey Barton,269,26,Centre Central Midfielder,England,2 September 1982,44039
252,Chris Brunt,269,24,Left Winger,Northern Ireland,14 December 1984,222348
253,Michail Antonio,268,68,Centre Striker,Jamaica,28 March 1990,327643
254,Dietmar Hamann,268,12,Midfielder,Germany,27 August 1973,29970
255,Ledley King,268,10,Centre Central Defender,England,12 October 1980,2004
256,Bacary Sagna,267,4,Right Full Back,France,14 February 1983,144801
257,Colin Cooper,266,13,Defender,England,28 February 1967,1933
258,David Batty,266,5,Midfielder,England,2 December 1968,234
259,Robert Green,266,0,Goalkeeper,England,18 January 1980,133748
260,David Beckham,265,62,Centre/Right Central Midfielder,England,2 May 1975,113463
261,Darius Vassell,265,52,Forward,England,13 June 1980,27979
262,Adam Johnson,265,32,Left/Right Winger,England,14 July 1987,6485
263,Kieran Richardson,265,24,Full Back,England,21 October 1984,40578
264,Vincent Kompany,265,18,Defender,Belgium,10 April 1986,262223
265,Tony Hibbert,265,0,Right Full Back,England,20 February 1981,2363
266,Jason Euell,264,56,Forward,Jamaica,6 February 1977,178101
267,Fernandinho,264,20,Centre Defensive Midfielder,Brazil,4 May 1985,6723
268,Des Walker,264,0,Centre Central Defender,England,26 November 1965,110015
269,Sadio Mané,263,111,Left/Right Second Striker,Senegal,10 April 1992,343482
270,Kevin Phillips,263,92,Centre Striker,England,25 July 1973,11265
271,Steve Stone,263,25,Midfielder,England,20 August 1971,3337
272,Aaron Ramsey,262,40,Centre Central Midfielder,Wales,26 December 1990,342076
273,Ryan Bertrand,262,7,Left Full Back,England,5 August 1989,281358
274,Carlton Palmer,261,15,Defender,England,5 December 1965,2098
275,Gary Pallister,261,9,Defender,England,30 June 1965,1934
276,Marouane Fellaini,260,37,Centre Attacking Midfielder,Belgium,22 November 1987,6727
277,Craig Gardner,260,31,Centre Central Midfielder,England,25 November 1986,46950
278,Morten Pedersen,259,34,Left/Centre Attacking Midfielder,Norway,8 September 1981,24892
279,Granit Xhaka,259,18,Central Defender,Switzerland,27 September 1992,739465
280,Trent Alexander-Arnold,259,18,Right Full Back,England,7 October 1998,738070
281,Thierry Henry,258,175,Centre Striker,France,17 August 1977,25936
282,Jay Rodriguez,258,46,Forward,England,29 July 1989,734485
283,Liam Ridgewell,257,16,Centre Central Defender,England,21 July 1984,161267
284,David Wetherall,257,15,Defender,England,14 March 1971,2071
285,John Stones,257,11,Centre Central Defender,England,28 May 1994,790456
286,Roberto Firmino,256,82,Left/Centre/Right Striker,Brazil,2 October 1991,19511
287,Adam Smith,256,5,Right Full Back,England,29 April 1991,10050
288,Asmir Begovic,256,1,Goalkeeper,Bosnia & Herzegovina,20 June 1987,739434
289,Olivier Giroud,255,90,Centre Striker,France,30 September 1986,738239
290,Chris Sutton,255,83,Forward,England,10 March 1973,4120
291,Laurent Koscielny,255,22,Centre Central Defender,France,10 September 1985,170758
292,Tony Adams,255,12,Defender,England,10 October 1966,3
293,Alisson Becker,255,1,Goalkeeper,Brazil,2 October 1992,133131
294,Didier Drogba,254,104,Forward,Cote D’Ivoire,11 March 1978,153650
295,Pierre-Emile Højbjerg,254,12,Centre Defensive Midfielder,Denmark,5 August 1995,738050
296,Idrissa Gueye,254,9,Centre Defensive Midfielder,Senegal,26 September 1989,263465
297,Nathan Aké,253,18,Left/Centre Central Defender,Netherlands,18 February 1995,187388
298,Lucas Digne,253,6,Left Full Back,France,20 July 1993,300571
299,Richard Shaw,253,0,Defender,England,11 September 1968,353084
300,Yakubu,252,95,Striker,Nigeria,22 November 1982,43839
301,Bobby Zamora,252,47,Centre Striker,England,16 January 1981,18814
302,Jonathan Greening,252,9,Midfielder,England,2 January 1979,20496
303,David Dunn,251,37,Centre Attacking Midfielder,England,27 December 1979,20833
304,Lee Hendrie,251,27,Midfielder,England,18 May 1977,12990
305,Matt Oakley,251,15,Centre Central Midfielder,England,17 August 1977,10841
306,Ricardo Gardner,251,10,Midfielder,Jamaica,25 September 1978,30076
307,Nemanja Matic,251,6,Centre Defensive Midfielder,Serbia,1 August 1988,356468
308,Bernd Leno,251,0,Goalkeeper,Germany,4 March 1992,321656
309,Niall Quinn,250,59,Forward,Ireland,6 October 1966,1492
310,John Obi Mikel,249,1,Centre Central Midfielder,Nigeria,22 April 1987,189078
311,Andy Carroll,248,54,Centre Striker,England,6 January 1989,327316
312,Muzzy Izzet,248,34,Midfielder,Turkiye,31 October 1974,3475
313,Dwight McNeil,248,21,Left Winger,England,22 November 1999,792315
314,Nick Pope,248,0,Goalkeeper,England,19 April 1992,313738
315,Pascal Groß,247,31,Centre Central Midfielder,Germany,15 June 1991,772476
316,Ian Taylor,247,29,Midfielder,England,4 June 1968,352970
317,Kurt Zouma,247,15,Centre Central Defender,France,27 October 1994,288580
318,Lucas Leiva,247,1,Centre Central Midfielder,Brazil,9 January 1987,51075
319,Neil Sullivan,247,0,Goalkeeper,Scotland,24 February 1970,27204
320,Brett Emerton,246,13,Right Attacking Midfielder,Australia,22 February 1979,3167
321,Eden Hazard,245,85,Left/Centre/Right Second Striker,Belgium,7 January 1991,159895
322,Stephen Ireland,245,19,Centre Central Midfielder,Ireland,22 August 1986,139710
323,Simon Mignolet,245,0,Goalkeeper,Belgium,6 March 1988,162448
324,Robbie Earle,244,45,Midfielder,Jamaica,27 January 1965,576
325,Youri Tielemans,244,26,Central Midfielder,Belgium,7 May 1997,785954
326,Jonathan Woodgate,244,6,Centre Central Defender,England,22 January 1980,58296
327,Gabriel Jesus,243,79,Second Striker,Brazil,3 April 1997,315355
328,Noel Whelan,243,44,Forward,England,30 December 1974,95531
329,Mousa Dembélé,243,12,Central Midfielder,Belgium,16 July 1987,160625
330,Francis Benali,243,1,Defender,England,30 December 1968,503
331,Stéphane Henchoz,243,0,Defender,Switzerland,7 September 1974,1580
332,El Hadji Diouf,242,28,Left/Centre/Right Attacking Midfielder,Senegal,15 January 1981,11217
333,Martin Skrtel,242,16,Centre Central Defender,Slovakia,15 December 1984,163782
334,Tom Cleverley,242,14,Centre Central Midfielder,England,12 August 1989,44032
335,Tom Huddlestone,242,12,Defensive Midfielder,England,28 December 1986,321716
336,Emmanuel Adebayor,241,97,Centre Striker,Togo,26 February 1984,52642
337,Freddie Ljungberg,241,48,Midfielder,Sweden,16 April 1977,110400
338,Scott Dann,241,16,Centre Central Defender,England,14 February 1987,288590
339,Ashley Williams,241,6,Centre Central Defender,Wales,23 August 1984,162574
340,Mark Viduka,240,92,Forward,Australia,9 October 1975,4712
341,Danny Ings,240,72,Forward,England,23 July 1992,740728
342,Stuart Ripley,240,14,Midfielder,England,20 November 1967,1991
343,Jlloyd Samuel,240,2,Defender,Trinidad & Tobago,29 March 1981,26835
344,Leandro Trossard,239,52,Forward,Belgium,4 December 1994,336745
345,Mohamed Diamé,239,18,Centre Defensive Midfielder,Senegal,14 June 1987,309578
346,Oriol Romeu,239,7,Centre Defensive Midfielder,Spain,24 September 1991,20061
347,Jarrod Bowen,238,65,Centre Striker,England,20 December 1996,180212
348,Keith Gillespie,238,17,Midfielder,Northern Ireland,18 February 1975,29676
349,Ian Pearce,238,11,Defender,England,7 May 1974,30403
350,Brede Hangeland,238,10,Centre Central Defender,Norway,20 June 1981,13931
351,Harvey Barnes,237,56,Left/Right Winger,England,9 December 1997,342771
352,Ian Harte,237,28,Left Full Back,Ireland,31 August 1977,10049
353,Cristiano Ronaldo,236,103,Centre Striker,Portugal,5 February 1985,336621
354,Dan Burn,236,7,Centre Central Defender,England,9 May 1992,302934
355,Simon Charlton,236,3,Defender,England,25 October 1971,3665
356,Steve Finnan,236,1,Right Full Back,Ireland,20 April 1976,5435
357,Ole Gunnar Solskjær,235,91,Forward,Norway,26 February 1973,1425
358,Alex Oxlade-Chamberlain,235,20,Central Midfielder,England,15 August 1993,345067
359,Steve Lomas,235,14,Midfielder,Northern Ireland,18 January 1974,1505
360,David Weir,235,9,Centre Central Defender,Scotland,10 May 1970,126098
361,Michael Gray,235,5,Defender,England,3 August 1974,97071
362,Dean Whitehead,234,7,Centre Central Midfielder,England,12 January 1982,19391
363,Raúl Jiménez,233,68,Striker,Mexico,5 May 1991,785459
364,Jonathan Walters,233,43,Centre Striker,Ireland,20 September 1983,136908
365,John McGinn,233,22,Centre Central Midfielder,Scotland,18 October 1994,135200
366,Tugay Kerimoglu,233,10,Midfielder,Turkiye,24 August 1970,2592
367,Aaron Wan-Bissaka,233,4,Right Full Back,DR Congo,26 November 1997,362816
368,Olof Mellberg,232,8,Centre Central Defender,Sweden,3 September 1977,7189
369,Jan Vertonghen,232,6,Centre Central Defender,Belgium,24 April 1987,326457
370,Jermaine Pennant,231,14,Right Winger,England,15 January 1983,15274
371,Darren Peacock,231,8,Defender,England,3 February 1968,2552
372,Ezri Konsa,231,8,Centre Central Defender,England,23 October 1997,160422
373,Matthew Lowton,231,4,Right Full Back,England,9 June 1989,335850
374,Phil Babb,231,4,Defender,Ireland,30 November 1970,3032
375,Bruno Fernandes,230,71,Left/Centre/Right Attacking Midfielder,Portugal,8 September 1994,180060
376,Yaya Touré,230,62,Central Midfielder,Cote D’Ivoire,13 May 1983,138364
377,Dimitar Berbatov,229,94,Centre Striker,Bulgaria,30 January 1981,24464
378,Gianfranco Zola,229,59,Forward,Italy,5 July 1966,1342
379,Tomás Soucek,229,41,Centre Defensive Midfielder,Czech Republic,27 February 1995,259014
380,Patrik Berger,229,38,Left/Right Winger,Czech Republic,10 November 1973,100429
381,Mark Pembridge,229,17,Midfielder,Wales,29 November 1970,3227
382,Dean Holdsworth,228,63,Forward,England,8 November 1968,1599
383,Joseph Yobo,228,8,Centre/Right Central Defender,Nigeria,6 September 1980,11596
384,Emiliano Martínez,228,0,Goalkeeper,Argentina,2 September 1992,252275
385,N'Golo Kanté,227,12,Centre Central Midfielder,France,29 March 1991,347737
386,Bukayo Saka,226,60,Left Winger,England,5 September 2001,135654
387,Tim Cahill,226,56,Centre Second Striker,Australia,6 December 1979,94112
